Formula,FW,DSSTox_CID,SR-HSE,ID,SMILES,Molecule,NR-AR,SR-ARE,NR-Aromatase,NR-ER-LBD,NR-AhR,SR-MMP,NR-ER,NR-PPAR-gamma,SR-p53,SR-ATAD5,NR-AR-LBD
C2H3NS,73.1169,7204,0.0,NCGC00259097-01,CN=C=S,<rdkit.Chem.rdchem.Mol object at 0x000001199F92BA00>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C8H8,104.1491,1284,0.0,NCGC00258362-01,C=Cc1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x000001199F92BAE0>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C10H12,132.2023,6118,0.0,NCGC00259342-01,c1ccc2c(c1)CCCC2,<rdkit.Chem.rdchem.Mol object at 0x000001199F92BBC0>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C9H16N4OS,228.3145,4316,0.0,NCGC00259002-01,CNC(=O)N(C)c1nnc(C(C)(C)C)s1,<rdkit.Chem.rdchem.Mol object at 0x000001199F92BD80>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C6H14O3,134.1736,6863,0.0,NCGC00259036-01,CC(O)COCC(C)O,<rdkit.Chem.rdchem.Mol object at 0x000001199F92BE60>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C10H20S2,204.3958,5501,,NCGC00255378-01,CC1CCC(C(C)CS)CC1S,<rdkit.Chem.rdchem.Mol object at 0x000001199F92BF40>,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
C8H9NO2,151.1626,5134,0.0,NCGC00258939-01,Cc1cccc(C)c1[N+](=O)[O-],<rdkit.Chem.rdchem.Mol object at 0x000001199F9440B0>,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
C8H16O2,144.2114,5293,0.0,NCGC00258957-01,CCCCC(CC)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x000001199F944190>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C11H25NO,187.3223,5304,,NCGC00258390-01,CCCCC(CC)COCCCN,<rdkit.Chem.rdchem.Mol object at 0x000001199F944270>,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
C8H12ClNO2,189.6394,483,0.0,NCGC00258782-01,COc1ccc(N)c(OC)c1.Cl,<rdkit.Chem.rdchem.Mol object at 0x000001199F944350>,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0
C10H16Cl3NOS,304.6641,4344,0.0,NCGC00259366-01,CC(C)N(C(=O)SCC(Cl)=C(Cl)Cl)C(C)C,<rdkit.Chem.rdchem.Mol object at 0x000001199F944430>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C12H16ClNOS,257.7795,4337,0.0,NCGC00259909-01,CCN(CC)C(=O)SCc1ccc(Cl)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001199F944510>,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
C14H7ClF3NO5,361.6573,22,0.0,NCGC00259388-01,O=C(O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],<rdkit.Chem.rdchem.Mol object at 0x000001199F9447B0>,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
C15H22ClNO2,283.7937,2448,0.0,NCGC00258927-01,CCc1cccc(C)c1N(C(=O)CCl)C(C)COC,<rdkit.Chem.rdchem.Mol object at 0x000001199F944900>,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
C7H5Cl3,195.4736,25005,0.0,NCGC00256182-01,ClCc1ccc(Cl)cc1Cl,<rdkit.Chem.rdchem.Mol object at 0x000001199F9449E0>,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0
C10H14N2,162.2316,930,0.0,NCGC00259363-01,CN1CCC[C@H]1c1cccnc1,<rdkit.Chem.rdchem.Mol object at 0x000001199F944AC0>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C10H10O4,194.184,498,0.0,NCGC00259817-01,COC(=O)c1ccc(C(=O)OC)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001199F944BA0>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C8H8N4O,176.1753,4574,0.0,NCGC00257724-01,NC(=O)Nc1nc2ccccc2[nH]1,<rdkit.Chem.rdchem.Mol object at 0x000001199F944E40>,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0
C6H5ClN2O2,172.5691,10384,0.0,NCGC00258361-01,Nc1ccc(Cl)cc1[N+](=O)[O-],<rdkit.Chem.rdchem.Mol object at 0x000001199F944F20>,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,0.0,0.0
C7H9NO,123.1525,4529,0.0,NCGC00258374-01,COc1cccc(N)c1,<rdkit.Chem.rdchem.Mol object at 0x000001199F945000>,0.0,1.0,0.0,0.0,,,0.0,,0.0,0.0,0.0
C6H7N3O2,153.1387,957,0.0,NCGC00091278-03,Nc1ccc(N)c([N+](=O)[O-])c1,<rdkit.Chem.rdchem.Mol object at 0x000001199F9450E0>,0.0,1.0,0.0,0.0,1.0,1.0,,0.0,,0.0,0.0
C25H20FNO5S,465.4934,27297,0.0,NCGC00254376-01,O=C(O)c1cccc(C[C@@H]2COc3ccc(OCc4nc5cc(F)ccc5s4)cc3[C@@H]2O)c1,<rdkit.Chem.rdchem.Mol object at 0x000001199F9451C0>,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0
C15H8O6,284.2204,6000,0.0,NCGC00258650-01,O=C(O)c1cc(O)c2c(c1)C(=O)c1cccc(O)c1C2=O,<rdkit.Chem.rdchem.Mol object at 0x000001199F945310>,0.0,1.0,0.0,0.0,,1.0,1.0,0.0,,0.0,
C18H36O3,300.4766,6725,0.0,NCGC00259043-01,CCCCCCC(O)CCCCCCCCCCC(=O)O,<rdkit.Chem.rdchem.Mol object at 0x000001199F9453F0>,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0
C11H20O2,184.2753,27099,0.0,NCGC00255642-01,CCCCCCC1CCCC(=O)O1,<rdkit.Chem.rdchem.Mol object at 0x000001199F9454D0>,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,
C16H26O3,266.3758,7870,0.0,NCGC00259466-01,CCCCCCCCCCC=CC1CC(=O)OC1=O,<rdkit.Chem.rdchem.Mol object at 0x000001199F9455B0>,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C7H14N2O,142.1989,1039,0.0,NCGC00258985-01,O=NN1CCCCCCC1,<rdkit.Chem.rdchem.Mol object at 0x000001199F945690>,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
C16H13NO4S,315.3437,24787,0.0,NCGC00256121-01,O=S(=O)(O)c1cc(O)c2ccc(Nc3ccccc3)cc2c1,<rdkit.Chem.rdchem.Mol object at 0x000001199F945850>,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0
C7H8O3,140.1366,21516,0.0,NCGC00254704-01,CCc1occc(=O)c1O,<rdkit.Chem.rdchem.Mol object at 0x000001199F945930>,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
C3H3N3O3,129.0742,4873,0.0,NCGC00259911-01,Oc1nc(O)nc(O)n1,<rdkit.Chem.rdchem.Mol object at 0x000001199F945BD0>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3H6O2,74.0785,666,0.0,NCGC00258861-01,OCC1CO1,<rdkit.Chem.rdchem.Mol object at 0x000001199F945CB0>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C16H10N2Na2O7S2,452.3693,1456,0.0,NCGC00259446-01,O=S(=O)([O-])c1ccc(/N=N/c2c(O)ccc3cc(S(=O)(=O)[O-])ccc23)cc1.[Na+].[Na+],<rdkit.Chem.rdchem.Mol object at 0x000001199F945D90>,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
C8H5Cl2NaO3,243.0193,7496,0.0,NCGC00258928-01,O=C([O-])COc1ccc(Cl)cc1Cl.[Na+],<rdkit.Chem.rdchem.Mol object at 0x000001199F945F50>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C20H27N2NaO5S,430.4935,27255,0.0,NCGC00253990-01,CC(C)c1cccc(C(C)C)c1NC(=O)[N-]S(=O)(=O)c1cc(C(C)(C)O)co1.[Na+],<rdkit.Chem.rdchem.Mol object at 0x000001199F946030>,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
C8H9Br,185.0611,13876,0.0,NCGC00257656-01,BrCCc1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x000001199F946180>,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
C22H14,278.3466,29101,,NCGC00260513-01,c1ccc2cc3c4ccccc4c4ccccc4c3cc2c1,<rdkit.Chem.rdchem.Mol object at 0x000001199F946340>,0.0,1.0,1.0,0.0,1.0,,,0.0,0.0,0.0,0.0
C3H4O3,88.0621,1650,0.0,NCGC00257000-01,CC(=O)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x000001199F946420>,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C7H16O2,132.2007,5967,0.0,NCGC00258209-01,CC(O)COC(C)(C)C,<rdkit.Chem.rdchem.Mol object at 0x000001199F946500>,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
C6H12O2,116.1583,12811,0.0,NCGC00258294-01,CCC(C)(C)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x000001199F9465E0>,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
C13H20O,192.2973,1769,0.0,NCGC00259005-01,CC(=O)/C=C/C1=C(C)CCCC1(C)C,<rdkit.Chem.rdchem.Mol object at 0x000001199F9466C0>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C6H6O3,126.11,5523,0.0,NCGC00259764-01,Cc1occc(=O)c1O,<rdkit.Chem.rdchem.Mol object at 0x000001199F9467A0>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C7H8N2O2,152.1506,5628,0.0,NCGC00258327-01,Cc1c(N)cccc1[N+](=O)[O-],<rdkit.Chem.rdchem.Mol object at 0x000001199F946880>,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,
C9H12,120.1916,6797,0.0,NCGC00259003-01,Cc1cc(C)cc(C)c1,<rdkit.Chem.rdchem.Mol object at 0x000001199F946960>,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C6H12,84.1595,5590,,NCGC00260428-01,CC1CCCC1,<rdkit.Chem.rdchem.Mol object at 0x000001199F946A40>,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0
C7H7NO,121.1366,1065,0.0,NCGC00258471-01,Cc1ccccc1N=O,<rdkit.Chem.rdchem.Mol object at 0x000001199F946B20>,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
C8H18O,130.2279,605,0.0,NCGC00259620-01,CCCCC(CC)CO,<rdkit.Chem.rdchem.Mol object at 0x000001199F946C00>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C4H8O2,88.1051,1515,0.0,NCGC00259931-01,CCCC(=O)O,<rdkit.Chem.rdchem.Mol object at 0x000001199F946CE0>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C16H35N,241.4558,5053,0.0,NCGC00258339-01,CCCCC(CC)CNCC(CC)CCCC,<rdkit.Chem.rdchem.Mol object at 0x000001199F946DC0>,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
C18H30,246.4308,6994,0.0,NCGC00258896-01,CCCCCCCCCCCCc1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x000001199F946EA0>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C4H10O,74.1216,1740,0.0,NCGC00258295-01,CCCCO,<rdkit.Chem.rdchem.Mol object at 0x000001199F946F80>,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,
C8H18O3,162.2267,1519,0.0,NCGC00259953-01,CCCCOCCOCCO,<rdkit.Chem.rdchem.Mol object at 0x000001199F947060>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C8H11N,121.1796,5271,0.0,NCGC00259315-01,CCNc1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x000001199F947140>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3H5ClOS,124.5892,5278,0.0,NCGC00258777-01,CCSC(=O)Cl,<rdkit.Chem.rdchem.Mol object at 0x000001199F947220>,,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
C2Cl6,236.7394,689,0.0,NCGC00258278-01,ClC(Cl)(Cl)C(Cl)(Cl)Cl,<rdkit.Chem.rdchem.Mol object at 0x000001199F947300>,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,
C6HCl4NO2,260.8896,6098,0.0,NCGC00091759-02,O=[N+]([O-])c1c(Cl)c(Cl)cc(Cl)c1Cl,<rdkit.Chem.rdchem.Mol object at 0x000001199F9473E0>,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0
C8H5Cl3O,223.4837,2256,0.0,NCGC00257847-01,CC(=O)c1ccc(Cl)c(Cl)c1Cl,<rdkit.Chem.rdchem.Mol object at 0x000001199F9474C0>,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0
C12H8Cl2O3S,303.1611,310,0.0,NCGC00258815-01,O=S(=O)(Oc1ccc(Cl)cc1)c1ccc(Cl)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001199F9475A0>,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0
C15H11ClN2O,270.7136,28801,0.0,NCGC00247713-01,Cc1nc2ccccc2c(=O)n1-c1ccccc1Cl,<rdkit.Chem.rdchem.Mol object at 0x000001199F947680>,0.0,,0.0,0.0,,,1.0,0.0,0.0,0.0,0.0
C15H10ClF3N2O6S,438.7629,4112,0.0,NCGC00258946-01,CS(=O)(=O)NC(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],<rdkit.Chem.rdchem.Mol object at 0x000001199F947760>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2H5Cl2O2P,162.9397,7407,0.0,NCGC00258880-01,CCOP(=O)(Cl)Cl,<rdkit.Chem.rdchem.Mol object at 0x000001199F9478B0>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C9H10O2,150.1745,5668,0.0,NCGC00259940-01,COC(=O)c1ccc(C)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001199F947990>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C9H8O3,164.158,5610,0.0,NCGC00259918-01,COC(=O)c1ccc(C=O)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001199F947A70>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C10H10O4,194.184,7402,0.0,NCGC00258897-01,COC(=O)c1cccc(C(=O)OC)c1,<rdkit.Chem.rdchem.Mol object at 0x000001199F947B50>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C6H7N3O2,153.1387,5770,0.0,NCGC00258545-01,Nc1ccc([N+](=O)[O-])c(N)c1,<rdkit.Chem.rdchem.Mol object at 0x000001199F947C30>,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0
C7H12O4,160.1678,1863,0.0,NCGC00258914-01,CCOC(=O)CC(=O)OCC,<rdkit.Chem.rdchem.Mol object at 0x000001199F947D10>,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
C18H26O6,338.3954,7530,,NCGC00259343-01,C=C(C)C(=O)OCC(CC)(COC(=O)C(=C)C)COC(=O)C(=C)C,<rdkit.Chem.rdchem.Mol object at 0x000001199F947DF0>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C12H9ClO2S,252.7167,22259,0.0,NCGC00255932-01,O=S(=O)(c1ccccc1)c1ccc(Cl)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001199F947ED0>,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
C7H4Cl2O2,191.0115,4977,0.0,NCGC00258310-01,O=C(O)c1ccc(Cl)cc1Cl,<rdkit.Chem.rdchem.Mol object at 0x000001199F960040>,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
C6H8O7,192.1235,332,0.0,NCGC00259954-01,O=C(O)CC(O)(CC(=O)O)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x000001199F960120>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2H6O2,62.0678,597,0.0,NCGC00259587-01,OCCO,<rdkit.Chem.rdchem.Mol object at 0x000001199F960200>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C27H36ClFO5,495.0231,25460,,NCGC00016824-01,C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@H]1C(=O)COC(=O)C(C)(C)C,<rdkit.Chem.rdchem.Mol object at 0x000001199F9602E0>,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
C8H16O7,224.2084,26829,,NCGC00181050-01,OCCO[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1O,<rdkit.Chem.rdchem.Mol object at 0x000001199F960510>,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C10H14O4,198.2158,24779,,NCGC00254840-01,C=CC(=O)OCCCCOC(=O)C=C,<rdkit.Chem.rdchem.Mol object at 0x000001199F9605F0>,0.0,1.0,,0.0,0.0,0.0,0.0,1.0,,1.0,1.0
C18H32CaN2O10,476.5321,20438,,NCGC00183031-01,CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)[O-].CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)[O-].[Ca+2],<rdkit.Chem.rdchem.Mol object at 0x000001199F960890>,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
C11H8BrNaO4,307.0726,368,,NCGC00255266-01,COc1ccc(C(=O)/C(Br)=C\C(=O)[O-])cc1.[Na+],<rdkit.Chem.rdchem.Mol object at 0x000001199F960970>,0.0,1.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
C21H32O,300.4782,2574,,NCGC00159497-02,C=CC[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C,<rdkit.Chem.rdchem.Mol object at 0x000001199F960A50>,1.0,,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
C24H32O6,416.5073,3302,,NCGC00159503-02,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,<rdkit.Chem.rdchem.Mol object at 0x000001199F960BA0>,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
C34H56N2O10,652.8158,28652,,NCGC00185744-01,COCCc1ccc(OCC(O)CNC(C)C)cc1.COCCc1ccc(OCC(O)CNC(C)C)cc1.O=C(O)CCC(=O)O,<rdkit.Chem.rdchem.Mol object at 0x000001199F960EB0>,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C12H14N2O3S,266.3162,26178,,NCGC00160481-01,CCCOc1ccc2nc(NC(=O)OC)sc2c1,<rdkit.Chem.rdchem.Mol object at 0x000001199F960F90>,0.0,,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
C37H46NNaO12,719.7504,20208,0.0,NCGC00260352-01,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(cc([O-])c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C.[Na+],<rdkit.Chem.rdchem.Mol object at 0x000001199F961540>,0.0,1.0,,0.0,0.0,,0.0,,0.0,0.0,0.0
C22H28O2,324.4565,26782,,NCGC00168777-01,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3C(=C)C[C@@]21CC,<rdkit.Chem.rdchem.Mol object at 0x000001199F961930>,1.0,,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
C7H9NO,123.1525,4488,0.0,NCGC00258246-01,Cc1ccc(O)c(N)c1,<rdkit.Chem.rdchem.Mol object at 0x000001199F961BD0>,0.0,1.0,,0.0,1.0,,,1.0,0.0,1.0,0.0
C13H21NO2,223.3113,26139,,NCGC00160415-01,CCN(CC)CCOc1ccccc1OC,<rdkit.Chem.rdchem.Mol object at 0x000001199F961D90>,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C27H22Cl2N4,473.3964,2839,,NCGC00016600-01,CC(C)/N=c1/cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001199F962030>,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C16H16N2O2,268.3104,29159,0.0,NCGC00260464-01,CN(C)c1ccc(/C=C/c2ccc([N+](=O)[O-])cc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001199F962260>,0.0,0.0,,0.0,0.0,0.0,1.0,,0.0,0.0,
C16H33NO3,287.4381,5491,,NCGC00181001-01,CCCCCCCCCCCC(=O)N(CCO)CCO,<rdkit.Chem.rdchem.Mol object at 0x000001199F962420>,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C11H16N2O8,304.2533,25385,,NCGC00016651-03,CC(=O)N[C@@H](CC(=O)N[C@@H](CCC(=O)O)C(=O)O)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x000001199F962500>,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C20H32N6O12S2,612.6311,28898,,NCGC00164484-02,N[C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O)C(=O)NCC(=O)O)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x000001199F962650>,1.0,,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
C7H4O3S,168.1699,25885,,NCGC00095003-01,O=c1oc2cc(O)ccc2s1,<rdkit.Chem.rdchem.Mol object at 0x000001199F962DC0>,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C34H31CuN4Na3O6,724.1484,25956,,NCGC00095193-01,C=Cc1c(C)c2cc3nc(c(CC(=O)[O-])c4[n-]c(cc5nc(cc1[n-]2)C(C)=C5CC)c(C)c4C(=O)[O-])C(CCC(=O)[O-])C3C.[Cu+2].[Na+].[Na+].[Na+],<rdkit.Chem.rdchem.Mol object at 0x000001199F962EA0>,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
C5H10NNaS2,171.2594,2956,1.0,NCGC00257957-01,CCN(CC)C(=S)[S-].[Na+],<rdkit.Chem.rdchem.Mol object at 0x000001199F962FF0>,0.0,1.0,,0.0,0.0,,0.0,,0.0,0.0,0.0
C12H10N2O,198.2206,4555,0.0,NCGC00091251-01,[O-][N+](=Nc1ccccc1)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x000001199F9630D0>,0.0,1.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
C20H24O3,312.4028,26626,,NCGC00167439-01,CC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3C=C[C@]12C,<rdkit.Chem.rdchem.Mol object at 0x000001199F963450>,1.0,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
C20H30O,286.4516,3556,1.0,NCGC00259990-01,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1,<rdkit.Chem.rdchem.Mol object at 0x000001199F963920>,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
C17H26N4O3S2,398.5433,3084,,NCGC00188432-01,C/C(=C(/CCO)SSCC1CCCO1)N(C=O)Cc1cnc(C)nc1N,<rdkit.Chem.rdchem.Mol object at 0x000001199F963A00>,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C15H23N3OS,293.4276,26182,,NCGC00160485-01,CCN(CC)CCOc1ccc2nc(N(C)C)sc2c1,<rdkit.Chem.rdchem.Mol object at 0x000001199F963AE0>,0.0,,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C10H14ClNO2,215.6767,28943,,NCGC00168264-01,CC(N)Cc1ccc2c(c1)OCO2.Cl,<rdkit.Chem.rdchem.Mol object at 0x000001199F963BC0>,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C17H22ClN3,303.8297,114,0.0,NCGC00256596-01,CN(C)c1ccc(C(=N)c2ccc(N(C)C)cc2)cc1.Cl,<rdkit.Chem.rdchem.Mol object at 0x000001199F963F40>,0.0,0.0,,0.0,1.0,1.0,,0.0,1.0,0.0,0.0
C23H28ClN,353.9281,28515,,NCGC00181746-01,CN(Cc1ccc(C(C)(C)C)cc1)Cc1cccc2ccccc12.Cl,<rdkit.Chem.rdchem.Mol object at 0x000001199F9740B0>,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C13H12ClN3,245.7075,1191,0.0,NCGC00258067-01,Cl.Nc1ccc2cc3ccc(N)cc3nc2c1,<rdkit.Chem.rdchem.Mol object at 0x000001199F974270>,0.0,1.0,1.0,,1.0,1.0,1.0,,1.0,0.0,1.0
C9H8ClN5,221.6463,28952,,NCGC00160583-01,Nc1ncnc(Nc2ccc(Cl)cc2)n1,<rdkit.Chem.rdchem.Mol object at 0x000001199F974510>,0.0,,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
C2H7N3S,105.1621,24390,1.0,NCGC00255773-01,CNC(=S)NN,<rdkit.Chem.rdchem.Mol object at 0x000001199F974890>,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
C12H13N3O,215.2511,1372,,NCGC00255251-01,Nc1ccc(Oc2ccc(N)c(N)c2)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001199F974C80>,1.0,1.0,,0.0,1.0,1.0,,0.0,0.0,1.0,0.0
C13H12Cl2N2,267.1538,865,0.0,NCGC00258205-01,Nc1ccc(Cc2ccc(N)c(Cl)c2)cc1Cl,<rdkit.Chem.rdchem.Mol object at 0x000001199F974D60>,0.0,0.0,,0.0,1.0,1.0,,0.0,,0.0,0.0
