,smiles,Formula,FW,DSSTox_CID,SR-HSE,NR-AR,SR-ARE,NR-Aromatase,NR-ER-LBD,NR-AhR,SR-MMP,NR-ER,NR-PPAR-gamma,SR-p53,SR-ATAD5,NR-AR-LBD
5134,Cc1c(C(=O)O)c(O)cc2c1C(=O)c1c(O)c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)c(O)c1C2=O,C22H20O13,492.3864,2817,,0,,0,0,0,0,0,0,0,0,0
5135,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,C19H30O2,290.4403,2609,,1,,,1,0,0,1,0,0,0,1
5136,CC(=O)Oc1c(C)cc(OCC(O)CNC(C)C)c(C)c1C,C17H27NO4,309.4006,26078,,1,,,1,0,0,1,0,0,0,0
5137,O=C(c1cc2ccccc2o1)N1CCN(Cc2ccccc2)CC1,C20H20N2O2,320.3850,26206,,0,,,0,0,0,0,0,0,0,0
5138,NC(=O)CC[C@@H](N)C(=O)O,C5H10N2O3,146.1445,26345,,0,,0,0,0,0,0,0,0,0,0
5139,CCC(CC)(CC(=O)Nc1cccc(/C=C/c2nc(C3CCC3)cs2)c1)C(=O)O,C23H28N2O3S,412.5450,25742,,0,,0,0,1,1,0,0,0,0,0
5140,CCCCCCCCCCCCCCCC(=O)O[C@@H]1CC(C)=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)C[C@@H](OC(=O)CCCCCCCCCCCCCCC)CC2(C)C)C(C)(C)C1,C72H116O4,1045.6890,28633,,0,,0,0,0,0,0,0,0,0,0
5141,COC(=O)Nc1nc2cc(S(=O)c3ccccc3)ccc2[nH]1,C15H13N3O3S,315.3470,24112,,0,,0,0,1,0,0,0,1,0,0
5142,O=c1ccc2ccccc2o1,C9H6O2,146.1427,348,,0,,0,0,0,0,1,0,0,0,0
5143,C#C[C@]1(O)CC[C@H]2[C@@H]3[C@H](C)CC4=C(CCC(=O)C4)[C@H]3CC[C@@]21C,C21H28O2,312.4458,3667,,1,,0,1,0,0,1,0,0,0,1
5144,COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O,C17H17ClO6,352.7663,674,,0,,,0,0,0,0,0,1,1,0
5145,CN1CC(=O)N=C1NC(=O)Nc1cccc(Cl)c1,C11H11ClN4O2,266.6836,26770,,0,,,0,1,1,1,0,0,0,0
5146,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3cccc4c3CCC4)CS[C@H]12)c1csc(N)n1.O=S(=O)(O)O,C22H24N6O9S3,612.6558 (514.5773+98.0785),26909,,0,,,0,0,0,0,0,0,0,0
5147,CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H](CN)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](N)C[C@H]2NC(=O)C(O)CN)OC[C@]1(C)O.O=S(=O)(O)O,C22H45N5O16S,667.6816 (569.6031+98.0785),26462,,1,,,0,0,0,0,0,0,0,0
5148,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)N3CCN(S(C)(=O)=O)C3=O)c3ccccc3)C(=O)N2[C@H]1C(=O)O,C21H25N5O8S2,539.5819,3316,,1,,,0,0,0,1,0,0,0,0
5149,Nc1nc(NC2CC2)c2ncn([C@@H]3C=C[C@@H](CO)C3)c2n1,C14H18N6O,286.3323,26444,,0,,,0,1,0,1,0,0,1,0
5150,O=C1c2cccc(O)c2C(=O)c2c(O)cccc21,C14H8O4,240.2109,328,,0,,0,0,0,1,0,0,0,0,0
5151,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3C(=O)C[C@]2(C)[C@@]1(O)C(=O)CO,C22H28O5,372.4547,3260,,1,,,0,0,0,0,0,0,0,1
5152,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,C21H26O5,358.4281,1185,,1,,,0,0,0,0,0,0,0,1
5153,C[N@+]12CCCC[C@@H]1CCC(=C(c1cccs1)c1cccs1)C2.[Br-],C19H24BrNS2,410.4346 (330.5300+79.9045),26757,,0,,0,0,0,0,0,0,0,0,0
5154,C=CC1=C(C)c2cc3[nH]c(cc4nc(cc5[nH]c(cc1n2)c(C)c5CCC(=O)[O-])C(CCC(=O)[O-])=C4C)c(C)c3C=C.[Na+].[Na+],C34H32N4Na2O4,606.6218 (560.6434+22.9892+22.9892),26589,,0,,0,1,0,0,1,0,0,0,0
5155,O=C1CN(N=Cc2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)[N-]1.[Na+],C14H9N4NaO5,336.2348 (313.2456+22.9892),24585,,0,,0,0,1,1,0,0,0,0,0
5156,CCCCCCCCCC(=O)N[O-].[Na+],C10H20NNaO2,209.2611 (186.2718+22.9892),28692,,0,,,0,0,0,0,0,0,0,0
5157,C[NH+](C)CCC(c1ccccc1)c1cccc[nH+]1.O=C([O-])/C=C\C(=O)[O-],C20H24N2O4,356.4156 (242.3582+114.0574),5866,,0,,,0,0,0,1,0,0,0,0
5158,CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1,C17H12Br2O3,424.0834,2652,,0,,0,0,0,1,0,1,1,0,0
5159,CO[C@]12C[C@@H](COC(=O)c3cncc(Br)c3)CN(C)[C@@H]1Cc1cn(C)c3cccc2c13,C24H26BrN3O3,484.3855,25607,,0,,,0,1,0,0,0,0,0,0
5160,C(=Cc1ccncc1)c1ccccc1,C13H11N,181.2331,26255,,0,,1,0,1,1,1,0,0,1,0
5161,c1ccc2c(c1)Nc1ccccc1S2,C12H9NS,199.2716,1126,,0,,0,0,0,1,1,0,0,0,0
5162,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,C21H30O3,330.4611,20747,,1,,,1,0,0,1,0,0,0,1
5163,CC(=O)[C@H]1CC[C@H]2[C@@H]3C=CC4=CC(=O)CC[C@@]4(C)[C@@H]3CC[C@]12C,C21H28O2,312.4458,2974,,1,,0,0,0,0,0,0,0,0,1
5164,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,C21H34O2,318.4935,26342,,0,,0,1,0,0,1,0,0,0,1
5165,COc1ccccc1N1CCN(CCCCNC(=O)c2ccc(-c3ccc(C(C)=O)cc3)cc2)CC1,C30H35N3O3,485.6172,22602,,0,,0,0,0,0,0,0,0,0,0
5166,CC(=O)c1ccc2c(c1)N(CCCN1CCC(CCO)CC1)c1ccccc1S2,C24H30N2O2S,410.5722,3481,,0,,0,0,0,0,0,0,0,0,0
5167,CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,C17H15N5O,305.3339,3748,,0,,,0,0,0,0,0,0,0,0
5168,C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C[C@@H](OC(C)=O)CC[C@@H]4[C@H]3CC[C@@]21C,C24H32O4,384.5085,614,,1,,1,1,0,1,1,0,1,0,1
5169,CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@@H]3[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]32)C1,C21H30O3,330.4611,380,0,0,,,1,0,1,1,0,,0,0
5170,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3C(=O)C[C@@]21C,C23H30O6,402.4807,2858,,0,,0,0,0,0,0,0,0,0,1
5171,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)C3=CC[C@@]21C,C23H30O5,386.4813,26805,,1,,0,0,0,0,1,0,0,0,1
5172,CN(C/C=C/C#CC(C)(C)C)Cc1cccc2ccccc12,C21H25N,291.4299,3640,,0,,0,0,0,0,0,0,0,0,0
5173,CC(C)(C)c1cc(O)ccc1O,C10H14O2,166.2170,220,,0,,0,0,1,0,0,0,0,0,0
5174,CC(C)(c1ccccc1)c1ccc(O)cc1,C15H16O,212.2869,2536,0,0,1,,1,0,1,1,0,,0,0
5175,CCC(C)(C)C(=O)OC1=C(c2cc(Cl)cc(Cl)c2)C(=O)OC12CCCCC2,C21H24Cl2O4,411.3189,14928,0,0,1,,0,,1,1,1,1,0,
5176,C/C=C(/CC[C@@H](C)[C@H]1CC[C@H]2C3=CC[C@H]4[C@H](C)[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C,C30H50O,426.7174,3584,,0,,0,0,0,0,0,0,0,0,0
5177,Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2,C29H50O2,430.7061,6339,,0,,0,0,0,0,0,0,0,0,0
5178,Cc1cc(O)cc2c1O[C@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)CC2,C27H46O2,402.6529,26263,,0,,0,0,0,0,0,0,0,0,0
5179,COCC(=O)N(c1c(C)cccc1C)C(C)C(=O)OC,C15H21NO4,279.3315,4175,,0,,0,0,0,0,0,0,0,0,0
5180,CC(O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,C21H36O2,320.5093,26218,,0,,0,1,0,0,1,0,0,0,0
5181,CCCCCCCCCCCCCCCC(=O)OC/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C,C36H60O2,524.8604,1241,,0,,0,0,0,0,0,0,0,0,0
5182,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)Oc2c(C)c(C)c3c(c2C)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O3)C(C)(C)CCC1,C49H76O3,713.1259,26923,,0,,1,0,0,0,0,0,0,0,0
5183,Cc1cc(O)ccc1N,C7H9NO,123.1525,29118,1,0,,,0,1,1,0,0,,0,0
5184,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(C)n1,C12H14N4O2S,278.3302,26390,,0,,0,0,0,0,0,0,0,0,0
5185,CC1=Nc2ccc3ccccc3c2C1(C)C,C15H15N,209.2863,24668,1,0,0,,0,,1,,0,0,0,0
5186,Cc1cccc2c1cc1ccc3cccc4ccc2c1c34,C21H14,266.3359,29297,1,0,1,0,,1,,0,1,1,0,1
5187,CCCCCCCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,C29H46O3,442.6737,26198,,1,,,1,0,0,1,0,0,0,1
5188,C=CCN1C[C@H](C)N([C@H](c2ccc(C(=O)N(CC)CC)cc2)c2cccc(OC)c2)C[C@H]1C,C28H39N3O2,449.6282,25662,,0,,0,0,0,0,0,0,0,0,0
5189,CC(=O)OCC(=O)NCCCOc1cccc(CN2CCCCC2)c1.Cl,C19H29ClN2O4,384.8976 (348.4366+36.4609),26670,,0,,0,1,0,0,1,0,0,0,0
5190,CCc1ccc(C(=O)C(C)CN2CCCCC2)cc1.Cl,C17H26ClNO,295.8474 (36.4609+259.3865),27822,,0,,,0,0,0,0,0,0,0,0
5191,COc1ccc(C(=O)NCc2ccc(OCCN(C)C)cc2)cc1OC.Cl,C20H27ClN2O4,394.8924 (358.4314+36.4609),26693,,0,,0,0,0,0,0,0,0,0,0
5192,CCN(CC)CC(=O)Nc1c(C)cc(C)cc1C.Cl,C15H25ClN2O,284.8248 (248.3639+36.4609),25702,,0,,,0,0,0,0,0,0,0,0
5193,CN[C@H](CC(C)C)C(=O)N[C@H]1C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H]2C(=O)N[C@H]3C(=O)N[C@H](C(=O)N[C@@H](C(=O)O)c4cc(O)cc(O)c4-c4cc3ccc4O)[C@H](O)c3ccc(c(Cl)c3)Oc3cc2cc(c3O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O[C@H]2C[C@](C)(N)C(O)[C@H](C)O2)Oc2ccc(cc2Cl)[C@H]1O.Cl,C66H76Cl3N9O24,1485.7145 (1449.2536+36.4609),25354,,1,,,0,0,0,0,0,0,0,0
5194,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,C22H19Cl2NO3,416.2972,3998,,0,,0,0,0,0,0,0,0,0,0
5195,CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](Cl)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,C43H68ClNO11,810.4531,26674,,0,,0,1,0,0,1,0,0,0,0
5196,CNc1cc(OC)c(C(=O)N[C@H]2CCN(Cc3ccccc3)[C@H]2C)cc1Cl,C21H26ClN3O2,387.9030,22612,,0,,0,0,0,0,0,0,0,0,0
5197,C=CCOc1ccc(CC(=O)O)cc1Cl,C11H11ClO3,226.6562,38,,1,,0,1,0,0,1,1,0,0,0
5198,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,C15H11ClN2O,270.7136,28926,,0,,0,0,0,0,0,0,0,0,0
5199,O=S1(=O)OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,C9H6Cl6O4S,422.9245,17541,,0,1,,0,0,,0,0,0,0,0
5200,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,C15H10Cl2N2O2,321.1581,3225,,0,,0,0,0,0,0,0,0,0,0
5201,CN(C)CCO,C4H11NO,89.1362,505,,1,,,0,0,0,0,0,0,0,0
5202,COC(=O)C1=CCCN(C)C1,C8H13NO2,155.1943,2617,,0,,0,0,0,0,0,0,0,0,0
5203,Cc1cc(C)cc(C(=O)OC2C[C@H]3CC[C@@H](C2)N3C)c1,C17H23NO2,273.3700,22618,,0,,0,0,0,0,0,0,0,0,0
5204,CCCCC(CC)COC(=O)C=Cc1ccc(OC)cc1,C18H26O3,290.3972,5302,,0,,0,0,0,0,0,0,0,0,0
5205,COc1nc(C)nc(Cl)c1NC1=NCCN1,C9H12ClN5O,241.6775,25170,,0,,,0,1,0,0,0,0,0,0
5206,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C,C21H26O2,310.4299,814,,0,,0,1,0,0,1,0,0,0,0
5207,COP(=O)(OC)OC(Br)C(Cl)(Cl)Br,C4H7Br2Cl2O4P,380.7837,4209,0,0,1,,1,,0,,1,1,1,1
5208,CS(=O)(=O)Nc1cc2occ(NC=O)c(=O)c2cc1Oc1ccccc1,C17H14N2O6S,374.3679,28897,,0,,0,0,0,0,0,0,0,0,0
5209,COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC.CS(=O)(=O)O,C24H29N5O8S,547.5808 (451.4751+96.1057),25598,,0,,0,0,0,0,0,0,0,0,0
5210,FC(F)OC(F)(F)C(F)Cl,C3H2ClF5O,184.4924,562,,0,,0,0,0,0,0,0,0,0,0
5211,Cc1nc2ccccn2c(=O)c1CCN1CCC(C(=O)c2ccc(F)cc2)CC1,C23H24FN3O2,393.4540,25182,,0,,0,0,0,0,0,0,0,0,0
5212,Fc1ccc(Oc2ccnc3cc(Cl)cc(Cl)c23)cc1,C15H8Cl2FNO,308.1345,14881,,0,1,0,0,,1,0,1,1,0,0
5213,O=C1NC(=O)[C@@]2(CCOc3ccc(F)cc32)N1,C11H9FN2O3,236.1992,3587,,0,,0,0,0,0,0,0,0,0,0
5214,N[C@@H]1CONC1=O,C3H6N2O2,102.0919,2870,,0,,,0,0,0,0,0,0,0,0
5215,NC(=O)CCCCC1CCSS1,C8H15NOS2,205.3408,26541,,0,,0,1,0,0,1,0,0,0,0
5216,NC1=NC(=O)C(c2ccccc2)O1,C9H8N2O2,176.1720,3427,,0,,0,0,0,0,0,0,0,0,0
5217,NC12CC3CC(CC(C3)C1)C2,C10H17N,151.2487,2117,,0,,0,0,0,0,0,0,0,0,0
5218,Nc1c2c(nc3ccccc13)CCCC2,C13H14N2,198.2637,17272,,0,,0,0,1,0,0,0,0,0,0
5219,Nc1ccc(Cl)cc1N,C6H7ClN2,142.5862,283,0,1,,,0,1,1,0,0,,1,0
5220,Nc1nc(F)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,C10H12FN5O4,285.2318,19657,,0,,0,0,0,0,0,0,1,0,0
5221,COc1ccc(C[C@H](C)NC[C@@H](O)c2ccc(O)c(NC=O)c2)cc1.COc1ccc(C[C@H](C)NC[C@@H](O)c2ccc(O)c(NC=O)c2)cc1.O.O.O=C(O)/C=C/C(=O)O,C42H56N4O14,840.9124 (344.4049+344.4049+116.0722+18.0153+18.0153),25679,,0,,0,0,0,0,0,0,0,0,0
5222,CCCCCCCCCCCCCCCCCC(=O)O[Al](O)O,C18H37AlO4,344.4655,28623,,1,,,0,0,0,0,0,0,0,0
5223,CS(=O)(=O)NC(=O)CCC/C=C\C[C@H]1C(=O)C[C@@H](O)[C@@H]1/C=C/[C@H](O)COc1ccccc1,C23H31NO7S,465.5597,28955,,0,,0,0,0,0,0,0,0,0,0
5224,OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O,C18H32O16,504.4371,28889,,1,,,0,0,0,1,0,0,0,1
5225,O=C(/C=C/c1cccc(F)c1)NC1CC1,C12H12FNO,205.2282,26154,,0,,,0,0,0,0,0,0,0,0
5226,CC(=O)Nc1c(I)cc(I)c(C(=O)O)c1I,C9H6I3NO3,556.8623,2549,,0,,0,0,0,0,0,0,0,0,0
5227,CC(=O)Nc1ccc(/C=N/NC(N)=S)cc1,C10H12N4OS,236.2935,2593,,1,,,0,0,0,0,0,0,0,0
5228,COc1cc(C=CC(=O)N2CCN(CC(=O)N3CCCC3)CC2)cc(OC)c1OC.O=C(O)/C=C\C(=O)O,C26H35N3O9,533.5708 (417.4986+116.0722),26859,,0,,0,0,0,0,0,0,0,0,0
5229,O=C(Nc1ccc([N+](=O)[O-])cc1)Nc1ccc([N+](=O)[O-])cc1,C13H10N4O5,302.2423,23761,,0,,0,0,0,1,1,0,0,0,0
5230,CN(C)CC[C@@H](c1ccc(Br)cc1)c1ccccn1.O=C(O)/C=C\C(=O)O,C20H23BrN2O4,435.3116 (319.2395+116.0722),27795,,0,,0,0,0,0,0,0,0,0,0
5231,Nc1nc(=O)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cnc2[nH]1,C19H19N7O6,441.3975,2519,,0,,0,0,0,0,1,0,0,0,0
5232,CCn1cc(C(=O)O)c(=O)c2cnc(N3CCCC3)nc21,C14H16N4O3,288.3018,25424,,0,,0,0,0,0,0,0,0,0,0
5233,NS(=O)(=O)c1cc(C(=O)O)cc(N2CCCC2)c1Oc1ccccc1,C17H18N2O5S,362.4002,3488,,1,,,0,0,0,0,0,0,0,0
5234,CCCCCCCCCCCC(=O)O[Sn](CCCC)(CCCC)OC(=O)CCCCCCCCCCC,C32H64O4Sn,631.5582,4961,,0,,0,0,0,0,0,0,0,0,0
5235,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,C12H15N3O2S,265.3314,2563,1,0,0,,0,1,1,,0,1,1,
5236,O=C(OCC1(COC(=O)c2cccnc2)CCCC(COC(=O)c2cccnc2)(COC(=O)c2cccnc2)C1O)c1cccnc1,C34H32N4O9,640.6393,28648,,0,,0,0,0,0,0,0,0,0,0
5237,NC1=NC(=O)N2CC12,C4H5N3O,111.1020,26895,,0,,0,0,0,0,0,0,0,0,0
5238,Cn1c(=O)c2[nH]cnc2n(C)c1=O,C7H8N4O2,180.1640,1336,,0,,0,0,0,0,1,0,0,0,0
5239,C[C@]12CCC(=O)C(O)=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,C19H26O3,302.4079,14113,,1,,1,1,0,0,1,0,0,0,1
5240,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)C(=O)CCC2(C)C)C(C)(C)CCC1=O,C40H52O2,564.8397,2727,,0,,0,1,0,0,1,0,0,0,0
5241,CN1CC(=O)N=C1NC(=O)Nc1cccc(Cl)c1,C11H11ClN4O2,266.6836,26770,,0,,,0,1,1,1,0,0,0,0
5242,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)OC(=O)CC[C@@H]12,C19H24O3,300.3921,3644,,1,,,1,0,0,1,0,0,0,0
5243,O=C1O[Pt]2(N[C@@H]3CCCC[C@H]3N2)OC1=O,C8H12N2O4Pt,395.2759,16760,,0,,0,0,0,0,0,0,1,0,0
5244,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,C21H28O2,312.4458,3016,,1,,0,1,0,0,1,0,0,0,1
5245,O=Cc1ccccc1,C7H6O,106.1219,134,,0,,0,0,0,0,0,0,0,0,0
5246,COc1cc([C@@H]2c3cc4c(cc3C(O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)C3COC(=O)[C@@H]32)OCO4)cc(OC)c1OP(=O)(O)O,C29H33O16P,668.5365,28571,,0,,0,0,0,0,0,0,1,1,0
5247,C1CNCCN1.C[C@]12CC[C@@H]3c4ccc(OS(=O)(=O)O)cc4CC[C@H]3[C@@H]1CCC2=O,C22H32N2O5S,436.5649 (350.4293+86.1356),3005,,0,,0,1,0,0,1,0,0,0,0
5248,CC1(C)S[C@@H]2[C@H](/N=C/N3CCCCCC3)C(=O)N2[C@H]1C(=O)O,C15H23N3O3S,325.4264,2584,,1,,,0,0,0,0,0,0,0,0
5249,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C,C17H20N4O6,376.3639,1777,,0,,0,0,0,1,0,0,0,0,0
5250,CC[C@H](c1ccc(O)cc1)[C@@H](CC)c1ccc(O)cc1,C18H22O2,270.3661,2381,1,0,1,,1,0,1,1,,1,0,0
5251,C/C=C(C(=C/C)/c1ccc(O)cc1)\c1ccc(O)cc1,C18H18O2,266.3343,2382,,0,,0,1,0,1,1,0,1,0,0
5252,CCOC(=O)c1ccc(O)cc1,C9H10O3,166.1739,2528,,0,,,0,0,0,1,0,0,0,0
5253,CCCCCCCCCCCCOC(=O)c1ccc(O)cc1,C19H30O3,306.4397,27859,0,,,,0,0,1,0,0,0,0,0
5254,Oc1ccc2cc(SSc3ccc4cc(O)ccc4c3)ccc2c1,C20H14O2S2,350.4540,5429,1,0,1,,1,,1,1,,0,0,0
5255,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO,C21H30O4,346.4605,2474,,1,,,0,0,0,0,0,0,0,1
5256,Nc1nc2c(ncn2COC(CO)CO)c(=O)[nH]1,C9H13N5O4,255.2306,21032,,0,,0,0,0,0,0,0,0,0,0
5257,CC(=O)N(CC(O)CO)c1c(I)c(C(=O)NCCO)c(I)c(C(=O)NCC(O)CO)c1I,C18H24I3N3O8,791.1119,28643,,0,,0,0,0,0,1,0,0,0,0
5258,Sc1nc2ccccc2s1,C7H5NS2,167.2513,807,,0,,,0,1,1,0,1,0,0,0
5259,Nc1ccc(S(=O)(=O)[N-]c2ncccn2)cc1.[Ag+],C10H9AgN4O2S,357.1373 (249.2696+107.8677),28572,,0,,0,0,0,0,0,0,0,0,0
5260,C[N+]1(C)[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12.[Br-],C18H24BrNO4,398.2915 (318.3869+79.9045),20608,,0,,0,0,0,0,0,0,0,0,0
5261,O=P([O-])([O-])OC(CO)CO.[Ca+2],C3H7CaO6P,210.1358 (170.0589+40.0769),28888,,0,,0,0,0,0,0,0,0,0,0
5262,O=C(CO)[C@@H](O)[C@H](O)[C@@H](O)C(=O)[O-].O=C(CO)[C@@H](O)[C@H](O)[C@@H](O)C(=O)[O-].[Ca+2],C12H18CaO14,426.3409 (40.0769+193.1320+193.1320),25078,,0,,0,0,0,0,0,0,0,0,0
5263,CC(C)CN(C[C@@H](OP(=O)([O-])[O-])[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1.[Ca+2],C25H34CaN3O9PS,623.6689 (40.0769+583.5920),26777,,0,,0,0,0,0,0,0,0,0,0
5264,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C.[Cl-].[Cl-],C14H30Cl2N2O4,361.3050 (290.3979+35.4535+35.4535),3603,,0,,0,0,0,0,0,0,0,0,0
5265,Nc1c[n+](N2CCOCC2)no1.[Cl-],C6H11ClN4O2,206.6301 (171.1766+35.4535),28965,,0,,0,0,0,0,0,0,0,0,0
5266,CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)c3ccc(N(CC)CC)cc3[o+]c2c1.[Cl-],C28H31ClN2O3,479.0103 (35.4535+443.5568),22369,0,0,1,,0,0,,,0,0,0,0
5267,CC[N+](CC)(CC)CCOc1cccc(OCC[N+](CC)(CC)CC)c1OCC[N+](CC)(CC)CC.[I-].[I-].[I-],C30H60I3N3O3,891.5291 (510.8141+126.9050+126.9050+126.9050),3089,,0,,0,0,0,0,0,0,0,0,0
5268,C[N+]1(CC2COC(c3ccccc3)(C3CCCCC3)O2)CCCCC1.[I-],C22H34INO2,471.4153 (344.5103+126.9050),26925,,0,,0,0,0,0,0,0,0,0,0
5269,C[C@]12CCC(=O)C=C1C=C[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@@]2(O)CCC(=O)[O-].[K+],C22H29KO4,396.5616 (357.4638+39.0978),25602,,1,,0,0,0,0,0,0,0,0,1
5270,Nc1nc(=O)c2c(CCc3ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc3)c[nH]c2[nH]1.[Na+].[Na+],C20H19N5Na2O6,471.3743 (425.3959+22.9892+22.9892),26660,,0,,0,0,0,0,0,0,0,0,0
5271,O=C1OC(c2ccc(O)c(S(=O)(=O)[O-])c2)(c2ccc(O)c(S(=O)(=O)[O-])c2)c2c(Br)c(Br)c(Br)c(Br)c21.[Na+].[Na+],C20H8Br4Na2O10S2,837.9971 (22.9892+22.9892+792.0186),3621,,0,,0,0,0,0,0,0,0,0,0
5272,Nc1c(/N=N/c2ccc(-c3ccc(/N=N/c4cc(S(=O)(=O)[O-])c5ccccc5c4N)cc3)cc2)cc(S(=O)(=O)[O-])c2ccccc12.[Na+].[Na+],C32H22N6Na2O6S2,696.6632 (22.9892+22.9892+650.6848),2816,0,0,0,,0,1,,0,,0,0,0
5273,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(C)c(CC(=O)[O-])s3)CS[C@H]12)c1csc(N)n1.[Na+].[Na+],C20H18N6Na2O7S4,628.6325 (582.6540+22.9892+22.9892),26730,,0,,,0,0,0,0,0,0,0,0
5274,COc1ccnc(CS(=O)c2nc3cc(OC(F)F)ccc3[n-]2)c1OC.[Na+],C16H14F2N3NaO4S,405.3516 (382.3624+22.9892),24215,,0,,0,0,1,0,0,0,0,0,0
